ids,gensec,editor-in-chief,guest,country,date
106,Y. V. Andropov (1982 - 1984),Korotych V. (1978-1986),"Гебнер, Рольф",German Democratic Republic,1983-05-23T00:00:00
107,K. U. Chernenko (1984 - 1985),Korotych V. (1978-1986),"Гебнер, Рольф",German Democratic Republic,1984-05-16T00:00:00
108,K. U. Chernenko (1984 - 1985),Korotych V. (1978-1986),"Гебнер, Рольф",German Democratic Republic,1984-11-28T00:00:00
109,M. S. Gorbachev (1985 - 1991),Korotych V. (1978-1986),"Гебнер, Рольф",German Democratic Republic,1985-11-20T00:00:00
110,N. S. Khrushchev (1953 - 1964),Poltoratskyy O. (1958-1971),"Гельстед, Отто",Denmark,1959-12-31T00:00:00
111,L. I. Brezhnev (1964 - 1982),Pavlychko D. (1971-1978),"Гельфалві, Дьєрдь(Георгій)",Romania,1977-11-23T00:00:00
112,M. S. Gorbachev (1985 - 1991),Mykytenko O. (1986-2000),"Гендерсон, Мае",USA,1989-07-11T00:00:00
113,M. S. Gorbachev (1985 - 1991),Mykytenko O. (1986-2000),"Гендс, Джон",Great Britain,1991-12-11T00:00:00
114,L. I. Brezhnev (1964 - 1982),Poltoratskyy O. (1958-1971),"Герлах, Ієнс",German Democratic Republic,1968-12-31T00:00:00
115,L. I. Brezhnev (1964 - 1982),Poltoratskyy O. (1958-1971),"Германов, Андрій",Bulgaria,1968-12-31T00:00:00
116,L. I. Brezhnev (1964 - 1982),Pavlychko D. (1971-1978),"Гіакан, Юіті",Japan,1977-09-30T00:00:00
117,M. S. Gorbachev (1985 - 1991),Mykytenko O. (1986-2000),"Гінламіре, Будданна",India,1989-12-15T00:00:00
118,L. I. Brezhnev (1964 - 1982),Poltoratskyy O. (1958-1971),"Гісгесо, Ян Марія",Poland,1971-05-14T00:00:00
119,K. U. Chernenko (1984 - 1985),Korotych V. (1978-1986),"Гліссан, Едуар",Martinique,1985-01-14T00:00:00
120,L. I. Brezhnev (1964 - 1982),Pavlychko D. (1971-1978),"Горак, Станіслав",Poland,1977-04-23T00:00:00
121,K. U. Chernenko (1984 - 1985),Korotych V. (1978-1986),"Гондаш, Ерна",Hungary,1984-06-15T00:00:00
122,K. U. Chernenko (1984 - 1985),Korotych V. (1978-1986),"Горак, Владімір",Poland,1984-10-26T00:00:00
123,L. I. Brezhnev (1964 - 1982),Poltoratskyy O. (1958-1971),"Граб, Мечислав",Poland,1971-05-14T00:00:00
124,L. I. Brezhnev (1964 - 1982),Pavlychko D. (1971-1978),"Гравіна, Альфредо",Uruguay(emigrated to Cuba),1977-05-20T00:00:00
125,K. U. Chernenko (1984 - 1985),Korotych V. (1978-1986),"Грассо, Антоніо",USA,1984-10-15T00:00:00
126,Y. V. Andropov (1982 - 1984),Korotych V. (1978-1986),"Грассо, Маріо з дружиною",USA,1983-06-15T00:00:00
127,K. U. Chernenko (1984 - 1985),Korotych V. (1978-1986),"Грассо, Маріо з дружиною",USA,1984-10-15T00:00:00
128,M. S. Gorbachev (1985 - 1991),Mykytenko O. (1986-2000),"Грегоріч, Луїс",Argentina,1990-03-02T00:00:00
129,L. I. Brezhnev (1964 - 1982),Poltoratskyy O. (1958-1971),"Гренджа-Донський, Василь",Czechoslovak Socialist Republic(Slovakia),1969-12-31T00:00:00
130,M. S. Gorbachev (1985 - 1991),Mykytenko O. (1986-2000),"Грехем, Мері Емма",USA,1989-07-11T00:00:00
131,L. I. Brezhnev (1964 - 1982),Poltoratskyy O. (1958-1971),"Григаші, Сва",Hungary,1969-12-31T00:00:00
132,M. S. Gorbachev (1985 - 1991),Mykytenko O. (1986-2000),"Гринюк, Стелла",Canada,1991-05-14T00:00:00
133,L. I. Brezhnev (1964 - 1982),Pavlychko D. (1971-1978),"Гру я, Стеліан",Romania,1972-06-14T00:00:00
134,M. S. Gorbachev (1985 - 1991),Mykytenko O. (1986-2000),Гу Чен,China,1991-05-29T00:00:00
135,M. S. Gorbachev (1985 - 1991),Mykytenko O. (1986-2000),"Гузман, Габіб Суккар",Costa Rica,1990-03-02T00:00:00
136,L. I. Brezhnev (1964 - 1982),Korotych V. (1978-1986),"Гупта, Харіш",India,1978-10-03T00:00:00
137,L. I. Brezhnev (1964 - 1982),Pavlychko D. (1971-1978),"Гупту, Амітава",India,1977-01-06T00:00:00
138,L. I. Brezhnev (1964 - 1982),Pavlychko D. (1971-1978),"Гурановський, Ян Людвік",Poland,1973-04-26T00:00:00
139,L. I. Brezhnev (1964 - 1982),Pavlychko D. (1971-1978),"Густафсон, Ралф",Canada,1976-09-22T00:00:00
140,M. S. Gorbachev (1985 - 1991),Mykytenko O. (1986-2000),"Гутаі, Магда",Hungary,1987-09-02T00:00:00
141,M. S. Gorbachev (1985 - 1991),Mykytenko O. (1986-2000),"Гхулам, Акі",India,1986-12-23T00:00:00
142,L. I. Brezhnev (1964 - 1982),Korotych V. (1978-1986),"Гьорліх, Ганс Йорг",German Democratic Republic,1981-12-04T00:00:00
143,M. S. Gorbachev (1985 - 1991),Mykytenko O. (1986-2000),Дав Чо Чо Тін,Myanmar,1991-09-30T00:00:00
144,L. I. Brezhnev (1964 - 1982),Poltoratskyy O. (1958-1971),"Давидков, Іван",Bulgaria,1968-12-31T00:00:00
145,L. I. Brezhnev (1964 - 1982),Korotych V. (1978-1986),"Дангем, Вера С.",USA,1982-07-29T00:00:00
146,M. S. Gorbachev (1985 - 1991),Korotych V. (1978-1986),"Дас, Сітаншу Мохан",India,1985-12-20T00:00:00
147,L. I. Brezhnev (1964 - 1982),Poltoratskyy O. (1958-1971),"Дасгупта, Самір",India,1971-05-27T00:00:00
148,M. S. Gorbachev (1985 - 1991),Mykytenko O. (1986-2000),"Дашдооров, Сормууниршийн",Mongolia,1987-07-28T00:00:00
149,M. S. Gorbachev (1985 - 1991),Mykytenko O. (1986-2000),"Де, Олександр",Great Britain,1991-06-13T00:00:00
150,L. I. Brezhnev (1964 - 1982),Pavlychko D. (1971-1978),"Де Ораа, Франсіско",Cuba,1975-06-11T00:00:00
151,K. U. Chernenko (1984 - 1985),Korotych V. (1978-1986),"Девіс, Джон",USA,1984-06-22T00:00:00
152,M. S. Gorbachev (1985 - 1991),Mykytenko O. (1986-2000),"Дегрев, Крістоф",Belgium,1988-06-27T00:00:00
153,M. S. Gorbachev (1985 - 1991),Mykytenko O. (1986-2000),"Дельгадо, Антоніо",Mexico,1990-04-23T00:00:00
154,M. S. Gorbachev (1985 - 1991),Mykytenko O. (1986-2000),"Джексон-Бек, Мерілін",USA,1991-12-31T00:00:00
155,M. S. Gorbachev (1985 - 1991),Mykytenko O. (1986-2000),"Дженіг, Волтер Б.",USA,1991-12-31T00:00:00
156,L. I. Brezhnev (1964 - 1982),Pavlychko D. (1971-1978),"Джеркович, Момчило",Yugoslavia,1975-04-25T00:00:00
157,L. I. Brezhnev (1964 - 1982),Pavlychko D. (1971-1978),"Джеркович, Момчило",Yugoslavia,1977-06-21T00:00:00
158,L. I. Brezhnev (1964 - 1982),Pavlychko D. (1971-1978),"Димитріев, Мирослав",Yugoslavia,1977-08-25T00:00:00
159,L. I. Brezhnev (1964 - 1982),Pavlychko D. (1971-1978),"Джумали, Неджаті",Turkey,1973-12-31T00:00:00
160,Y. V. Andropov (1982 - 1984),Korotych V. (1978-1986),"Димов, Явко",Bulgaria,1983-05-18T00:00:00
161,L. I. Brezhnev (1964 - 1982),Pavlychko D. (1971-1978),"Діггельман, Вальтер Маттіас",Switzerland,1975-07-11T00:00:00
162,L. I. Brezhnev (1964 - 1982),Poltoratskyy O. (1958-1971),"Дієго, Елісео",Cuba,1968-12-31T00:00:00
163,L. I. Brezhnev (1964 - 1982),Pavlychko D. (1971-1978),До Тю,Vietnam,1977-10-11T00:00:00
164,L. I. Brezhnev (1964 - 1982),Pavlychko D. (1971-1978),"Добровольські, Розалія і Станіслав",Canada,1976-08-06T00:00:00
165,Y. V. Andropov (1982 - 1984),Korotych V. (1978-1986),"Доплікер, Фабіо",Italy,1983-08-09T00:00:00
166,K. U. Chernenko (1984 - 1985),Korotych V. (1978-1986),"Драганов, Неделчо",Bulgaria,1984-10-26T00:00:00
167,L. I. Brezhnev (1964 - 1982),Pavlychko D. (1971-1978),"Дроздовський, Богдан",Poland,1977-04-23T00:00:00
168,M. S. Gorbachev (1985 - 1991),Mykytenko O. (1986-2000),"Ду, Шуін",China,1988-03-23T00:00:00
169,L. I. Brezhnev (1964 - 1982),Korotych V. (1978-1986),"Дутина, Тодор",Yugoslavia,1978-12-31T00:00:00
170,M. S. Gorbachev (1985 - 1991),Mykytenko O. (1986-2000),"Дюлане, Едда Ійєш",Hungary,1988-11-02T00:00:00
171,M. S. Gorbachev (1985 - 1991),Korotych V. (1978-1986),"Дюринова-Павулякова, Наташа",Slovakia,1985-10-02T00:00:00
172,L. I. Brezhnev (1964 - 1982),Pavlychko D. (1971-1978),"Дянков, Кристан",Bulgaria,1976-05-13T00:00:00
173,L. I. Brezhnev (1964 - 1982),Pavlychko D. (1971-1978),Е Муїн,Myanmar,1974-10-23T00:00:00
174,M. S. Gorbachev (1985 - 1991),Mykytenko O. (1986-2000),"Егурен Віньялета, Густаво",Cuba,1990-02-02T00:00:00
175,M. S. Gorbachev (1985 - 1991),Mykytenko O. (1986-2000),"Ейкок, Френк А.",USA,1991-12-31T00:00:00
