,year,source,target
375,1983.0,Bangladesh,"Бхоттачарджо, Шуканто"
376,1983.0,Y. V. Andropov (1982 - 1984),Bangladesh
377,1983.0,Bangladesh,"Іслам, Нозрул"
378,1983.0,Y. V. Andropov (1982 - 1984),Bangladesh
379,1983.0,Bangladesh,"Шабер, Шохід"
380,1972.0,L. I. Brezhnev (1964 - 1982),Belgium
381,1972.0,Belgium,"Акен, Піт Ван"
382,,,
383,,,
384,1987.0,M. S. Gorbachev (1985 - 1991),Belgium
385,1987.0,Belgium,"Ванделоо, Йос"
386,1966.0,L. I. Brezhnev (1964 - 1982),Belgium
387,1966.0,Belgium,"Верхарн, Еміль"
388,1959.0,N. S. Khrushchev (1953 - 1964),Belgium
389,1959.0,Belgium,"Верхарн, Еміль"
390,1963.0,N. S. Khrushchev (1953 - 1964),Belgium
391,1963.0,Belgium,"Верхарн, Еміль"
392,1926.0,J. V. Stalin (1922 - 1952),Belgium
393,1926.0,Belgium,"Верхарн, Еміль"
394,1962.0,N. S. Khrushchev (1953 - 1964),Belgium
395,1962.0,Belgium,"Елсхот, Віллєм(Ван-Ріддер)"
396,,,
397,,,
398,1962.0,N. S. Khrushchev (1953 - 1964),Belgium
399,1962.0,Belgium,"Елсхот, Віллєм (Ван-Ріддер)"
400,,,
401,,,
402,1959.0,N. S. Khrushchev (1953 - 1964),Belgium
403,1959.0,Belgium,"Лемоньє, Каміл"
404,1986.0,M. S. Gorbachev (1985 - 1991),Belgium
405,1986.0,Belgium,"Фалкенаре, Жюльєн де"
406,1986.0,M. S. Gorbachev (1985 - 1991),Benin
407,1986.0,Benin,"Асонгба, Ромен"
408,1979.0,L. I. Brezhnev (1964 - 1982),Benin
409,1979.0,Benin,"Суману, Мама"
410,1979.0,L. I. Brezhnev (1964 - 1982),Benin
411,1979.0,Benin,"Суману, Мама"
412,1928.0,J. V. Stalin (1922 - 1952),Belarus
413,1928.0,Belarus,"Богданович, Максим"
414,1928.0,J. V. Stalin (1922 - 1952),Belarus
415,1928.0,Belarus,"Гартни, Цішка"
416,1928.0,J. V. Stalin (1922 - 1952),Belarus
417,1928.0,Belarus,"Колас, Якуб"
418,1928.0,J. V. Stalin (1922 - 1952),Belarus
419,1928.0,Belarus,"Крапіва, К.А"
420,1928.0,J. V. Stalin (1922 - 1952),Belarus
421,1928.0,Belarus,"Купала, Янка"
422,1981.0,L. I. Brezhnev (1964 - 1982),Bulgaria
423,1981.0,Bulgaria,"Анастасов, Петр"
424,1981.0,L. I. Brezhnev (1964 - 1982),Bulgaria
425,1981.0,Bulgaria,"Андреев, Андрей"
426,1977.0,L. I. Brezhnev (1964 - 1982),Bulgaria
427,1977.0,Bulgaria,"Андреев, Веселин"
428,1978.0,L. I. Brezhnev (1964 - 1982),Bulgaria
429,1978.0,Bulgaria,"Априлов, Борис"
430,1978.0,L. I. Brezhnev (1964 - 1982),Bulgaria
431,1978.0,Bulgaria,"Атанасов, Герчо"
432,1974.0,L. I. Brezhnev (1964 - 1982),Bulgaria
433,1974.0,Bulgaria,"Багряна, Єлисавета"
434,1962.0,N. S. Khrushchev (1953 - 1964),Bulgaria
435,1962.0,Bulgaria,"Багряна, Єлисавета"
436,1986.0,M. S. Gorbachev (1985 - 1991),Bulgaria
437,1986.0,Bulgaria,"Банов, Банчо"
438,1968.0,L. I. Brezhnev (1964 - 1982),Bulgaria
439,1968.0,Bulgaria,"Башев, Володимир (Владимир)"
440,1974.0,L. I. Brezhnev (1964 - 1982),Bulgaria
441,1974.0,Bulgaria,"Башев, Володимир (Владимир)"
442,1959.0,N. S. Khrushchev (1953 - 1964),Bulgaria
443,1959.0,Bulgaria,"Башев, Володимир (Владимир)"
444,1970.0,L. I. Brezhnev (1964 - 1982),Bulgaria
445,1970.0,Bulgaria,"Белев, Кристо"
446,1974.0,L. I. Brezhnev (1964 - 1982),Bulgaria
447,1974.0,Bulgaria,"Божилов, Божидар"
448,1976.0,L. I. Brezhnev (1964 - 1982),Bulgaria
449,1976.0,Bulgaria,"Ботев, Христо"
450,1959.0,N. S. Khrushchev (1953 - 1964),Bulgaria
451,1959.0,Bulgaria,"Ботев, Христо"
452,1986.0,M. S. Gorbachev (1985 - 1991),Bulgaria
453,1986.0,Bulgaria,"Бумов, Радослав"
454,1986.0,M. S. Gorbachev (1985 - 1991),Bulgaria
455,1986.0,Bulgaria,"Бумов, Радослав"
456,1968.0,L. I. Brezhnev (1964 - 1982),Bulgaria
457,1968.0,Bulgaria,"Бурнаскі, Евстаті"
458,1973.0,L. I. Brezhnev (1964 - 1982),Bulgaria
459,1973.0,Bulgaria,"Вазов, Іван"
460,1980.0,L. I. Brezhnev (1964 - 1982),Bulgaria
461,1980.0,Bulgaria,"Вазов, Іван"
462,1977.0,L. I. Brezhnev (1964 - 1982),Bulgaria
463,1977.0,Bulgaria,"Вапцаров, Никола"
464,1960.0,N. S. Khrushchev (1953 - 1964),Bulgaria
465,1960.0,Bulgaria,"Вапцаров, Никола"
466,1970.0,L. I. Brezhnev (1964 - 1982),Bulgaria
467,1970.0,Bulgaria,"Василев, Димитр"
468,1958.0,N. S. Khrushchev (1953 - 1964),Bulgaria
469,1958.0,Bulgaria,"Василев(Василэв), Орлин"
470,1963.0,N. S. Khrushchev (1953 - 1964),Bulgaria
471,1963.0,Bulgaria,"Василев(Василэв), Орлин"
472,1977.0,L. I. Brezhnev (1964 - 1982),Bulgaria
473,1977.0,Bulgaria,"Вежинов, Павел"
474,1975.0,L. I. Brezhnev (1964 - 1982),Bulgaria
475,1975.0,Bulgaria,"Вежинов, Павел"
476,1988.0,M. S. Gorbachev (1985 - 1991),Bulgaria
477,1988.0,Bulgaria,"Вежинов, Павел"
478,1983.0,Y. V. Andropov (1982 - 1984),Bulgaria
479,1983.0,Bulgaria,"Вежинов, Павел"
480,1983.0,Y. V. Andropov (1982 - 1984),Bulgaria
481,1983.0,Bulgaria,"Вежинов, Павел"
482,1985.0,K. U. Chernenko (1984 - 1985),Bulgaria
483,1985.0,Bulgaria,"Вежинов, Павел"
484,1986.0,M. S. Gorbachev (1985 - 1991),Bulgaria
485,1986.0,Bulgaria,"Велков, Крум"
486,1985.0,M. S. Gorbachev (1985 - 1991),Bulgaria
487,1985.0,Bulgaria,"Вилчев, Найден"
488,1969.0,L. I. Brezhnev (1964 - 1982),Bulgaria
489,1969.0,Bulgaria,"Габе, Дора"
490,1972.0,L. I. Brezhnev (1964 - 1982),Bulgaria
491,1972.0,Bulgaria,"Габе, Дора"
492,1965.0,L. I. Brezhnev (1964 - 1982),Bulgaria
493,1965.0,Bulgaria,"Габе, Дора"
494,1985.0,M. S. Gorbachev (1985 - 1991),Bulgaria
495,1985.0,Bulgaria,"Габе, Дора"
496,1980.0,L. I. Brezhnev (1964 - 1982),Bulgaria
497,1980.0,Bulgaria,"Георгієв, Велин"
498,1976.0,L. I. Brezhnev (1964 - 1982),Bulgaria
499,1976.0,Bulgaria,"Германов, Андрей"
500,1974.0,L. I. Brezhnev (1964 - 1982),Bulgaria
